"","City","Date","Count"
"415","ANTIOQUIA",2020-10-31,1063
"416","ANTIOQUIA",2020-03-31,6
"417","ANTIOQUIA",2020-05-31,58
"418","ANTIOQUIA",2020-07-31,1410
"419","ANTIOQUIA",2020-08-31,1484
"420","ANTIOQUIA",2020-10-04,1402
"421","ANTIOQUIA",2020-11-04,1257
"422","ANTIOQUIA",2020-04-04,4
"423","ANTIOQUIA",2020-05-04,4
"424","ANTIOQUIA",2020-06-04,81
"425","ANTIOQUIA",2020-07-04,1214
"426","ANTIOQUIA",2020-08-04,1171
"427","ANTIOQUIA",2020-09-04,1293
"428","ANTIOQUIA",2020-10-05,1818
"429","ANTIOQUIA",2020-11-05,1606
"430","ANTIOQUIA",2020-03-05,1
"431","ANTIOQUIA",2020-04-05,5
"432","ANTIOQUIA",2020-05-05,7
"433","ANTIOQUIA",2020-06-05,62
"434","ANTIOQUIA",2020-07-05,944
"435","ANTIOQUIA",2020-08-05,1331
"436","ANTIOQUIA",2020-09-05,1121
"437","ANTIOQUIA",2020-10-06,1581
"438","ANTIOQUIA",2020-11-06,1203
"439","ANTIOQUIA",2020-03-06,2
"440","ANTIOQUIA",2020-04-06,12
"441","ANTIOQUIA",2020-05-06,2
"442","ANTIOQUIA",2020-06-06,111
"443","ANTIOQUIA",2020-07-06,1492
"444","ANTIOQUIA",2020-08-06,1309
"445","ANTIOQUIA",2020-09-06,1373
"446","ANTIOQUIA",2020-10-07,1152
"447","ANTIOQUIA",2020-11-07,893
"448","ANTIOQUIA",2020-03-07,1
"449","ANTIOQUIA",2020-04-07,6
"450","ANTIOQUIA",2020-05-07,15
"451","ANTIOQUIA",2020-06-07,66
"452","ANTIOQUIA",2020-07-07,1265
"453","ANTIOQUIA",2020-08-07,1154
"454","ANTIOQUIA",2020-09-07,1503
"455","ANTIOQUIA",2020-10-08,1692
"456","ANTIOQUIA",2020-11-08,1221
"457","ANTIOQUIA",2020-03-08,2
"458","ANTIOQUIA",2020-04-08,7
"459","ANTIOQUIA",2020-05-08,5
"460","ANTIOQUIA",2020-06-08,96
"461","ANTIOQUIA",2020-07-08,1459
"462","ANTIOQUIA",2020-08-08,1271
"463","ANTIOQUIA",2020-09-08,1418
"464","ANTIOQUIA",2020-10-09,1680
"465","ANTIOQUIA",2020-11-09,1292
"466","ANTIOQUIA",2020-03-09,4
"467","ANTIOQUIA",2020-04-09,6
"468","ANTIOQUIA",2020-05-09,12
"469","ANTIOQUIA",2020-06-09,91
"470","ANTIOQUIA",2020-07-09,1784
"471","ANTIOQUIA",2020-08-09,1080
"472","ANTIOQUIA",2020-09-09,1294
"473","ARAUCA",2020-10-01,62
"474","ARAUCA",2020-11-01,14
"475","ARAUCA",2020-07-01,4
"476","ARAUCA",2020-08-01,22
"477","ARAUCA",2020-09-01,45
"478","ARAUCA",2020-10-10,38
"479","ARAUCA",2020-11-10,14
"480","ARAUCA",2020-06-10,3
"481","ARAUCA",2020-07-10,7
"482","ARAUCA",2020-08-10,21
"483","ARAUCA",2020-09-10,30
"484","ARAUCA",2020-10-11,34
"485","ARAUCA",2020-11-11,37
"486","ARAUCA",2020-06-11,28
"487","ARAUCA",2020-07-11,7
"488","ARAUCA",2020-08-11,52
"489","ARAUCA",2020-09-11,23
"490","ARAUCA",2020-10-12,34
"491","ARAUCA",2020-11-12,16
"492","ARAUCA",2020-06-12,8
"493","ARAUCA",2020-07-12,3
"494","ARAUCA",2020-08-12,9
"495","ARAUCA",2020-09-12,40
"496","ARAUCA",2020-10-13,42
"497","ARAUCA",2020-11-13,11
"498","ARAUCA",2020-06-13,5
"499","ARAUCA",2020-07-13,7
"500","ARAUCA",2020-08-13,23
"501","ARAUCA",2020-09-13,17
"502","ARAUCA",2020-10-14,38
"503","ARAUCA",2020-11-14,11
"504","ARAUCA",2020-06-14,1
"505","ARAUCA",2020-07-14,9
"506","ARAUCA",2020-08-14,20
"507","ARAUCA",2020-09-14,26
"508","ARAUCA",2020-10-15,36
"509","ARAUCA",2020-11-15,6
"510","ARAUCA",2020-06-15,11
"511","ARAUCA",2020-07-15,14
"512","ARAUCA",2020-08-15,18
"513","ARAUCA",2020-09-15,28
"514","ARAUCA",2020-10-16,43
